layer,feature,label,f1_score,accuracy,precision,recall,main_theme,sub_theme
28,45,"Specific entities, actions, or attributes in business and financial contexts",0.85,0.738,0.762,0.96,And & Contexts,Contexts And
28,6,Financial metrics and performance indicators,0.675,0.6,0.9,0.54,And & Metrics,And Performance
16,169,Financial and stock-related symbols and numbers,0.72,0.569,0.72,0.72,Stock & And,And Contexts
10,17,"Financial and economic news, stock recommendations, and market analysis",0.901,0.82,1.0,0.82,And & Economic,And Economic
4,274,References to specific financial articles or time periods,0.66,0.508,0.721,0.608,And & Time,Time Periods
28,89,Financial performance and market conditions,0.74,0.6,0.74,0.74,And & Economic,And Performance
4,29,Financial metrics and business transitions,0.733,0.585,0.725,0.74,And & Metrics,And Metrics
16,359,Transitions and changes in economic and market conditions,0.521,0.462,0.826,0.38,And & Economic,And Contexts
16,303,Financial performance and market analysis terms,0.674,0.523,0.727,0.627,And & Economic,And Performance
16,369,Introduction or summary of a news article or announcement,0.355,0.385,0.917,0.22,And & Contexts,And News
28,367,"Financial metrics and economic data, including monetary amounts and percentages.",0.65,0.569,0.867,0.52,And & Metrics,And Metrics
22,397,Financial and technical context markers,0.85,0.738,0.762,0.96,And & Time,And Technical
16,71,Introduces clauses with additional information or context,0.455,0.446,0.938,0.3,And & Contexts,And Contexts
16,239,Segments of company names and stock-related terms,0.727,0.585,0.75,0.706,And & Names,And Names
4,218,"Sentence boundary marker, specifically periods.",0.444,0.6,0.571,0.364,Sentence & Marker,Sentence Boundary
10,129,Financial and business entities and actions,0.839,0.723,0.77,0.922,And & Contexts,And Contexts
4,49,"Intention, expectation, and strategic positioning in business contexts",0.462,0.462,1.0,0.3,And & Contexts,And Contexts
4,88,Conjunctions linking clauses or items in lists,0.388,0.369,0.812,0.255,And & Contexts,And Punctuation
22,292,Punctuation and conjunctions in financial and tech company contexts,0.796,0.692,0.812,0.78,And & Contexts,And Punctuation
28,7,Financial metrics and earnings in temporal context,0.479,0.431,0.81,0.34,And & Metrics,And Metrics
10,89,"Geographical and market-specific terms, often region or sector-focused.",0.776,0.662,0.792,0.76,And & Contexts,And Tech
16,170,Temporal and positional markers in financial and news contexts,0.753,0.646,0.814,0.7,And & Contexts,And News
22,380,"Represents years in \""20XX\"" or \""20XX-20YY\"" format",0.333,0.385,1.0,0.2,And & Contexts,And Contexts
16,276,Punctuation and numerical values in financial and economic text,0.6,0.508,0.8,0.48,And & Contexts,And Values
22,347,Technical and financial terms related to Nvidia and data centers,0.457,0.415,0.8,0.32,And & Contexts,And Technical
16,259,Financial figures and stock symbols in financial contexts,0.779,0.677,0.822,0.74,And & Contexts,And Values
16,129,Contractions and apostrophes in informal or quoted speech,0.349,0.369,0.917,0.216,And & Contexts,And Contexts
22,19,"Punctuation, numbers, and short words in URLs or stock content",0.745,0.631,0.795,0.7,And & Contexts,And Words
10,304,Article titles and financial/business terms,0.811,0.692,0.768,0.86,And & Contexts,And News
4,350,Attribution or actions in financial and tech contexts,0.804,0.677,0.754,0.86,And & Contexts,And Tech
10,103,Punctuation and percentage signs denote financial metrics and data points.,0.494,0.4,0.704,0.38,And & Metrics,And Metrics
4,338,"Financial and business terms, large numbers, company names, economic activities",0.836,0.723,0.767,0.92,And & Names,And Names
16,128,"Significant financial milestones, records, or notable events in financial contexts",0.659,0.554,0.8,0.56,And & Contexts,And Words
16,84,"Financial and market-related terms, including stock lists and performance metrics.",0.833,0.723,0.776,0.9,And & Economic,And Stock
16,174,"Geographical and financial terms, often involving specific regions or metrics.",0.737,0.615,0.778,0.7,And & Contexts,And Tech
22,88,Company names and stock-related financial terms,0.881,0.8,0.828,0.941,And & Names,And Names
28,313,"Financial and technical jargon, including company names and punctuation",0.86,0.754,0.766,0.98,And & Names,And Names
16,204,Time periods and financial performance indicators in business contexts,0.786,0.723,1.0,0.647,And & Time,Time Periods
22,40,"Financial and business growth, capacity, and market dynamics",0.847,0.738,0.77,0.94,And & Contexts,And Performance
10,273,Financial and market growth indicators and performance metrics,0.718,0.56,1.0,0.56,And & Metrics,And Performance
28,312,"Business and financial entities (customers, investors, executives)",0.816,0.723,0.851,0.784,And & Contexts,And Contexts
16,398,Ongoing or repeated financial actions or returns,0.556,0.508,0.909,0.4,And & Contexts,And Contexts
16,215,Key details or transitions in financial content,0.5,0.36,0.364,0.8,And & Contexts,And Contexts
10,349,"Sentence-ending punctuation, especially periods",0.317,0.338,0.769,0.2,And & Contexts,Sentence And
16,290,"Financial stakeholders, especially investors, and their actions or perceptions.",0.714,0.569,0.729,0.7,And & Contexts,And Contexts
22,232,Actions or intentions to achieve business or technology goals,0.568,0.462,0.742,0.46,And & Contexts,And Contexts
4,299,"Healthcare and business sectors, specific roles and entities",0.394,0.385,0.867,0.255,And & Contexts,And Tech
10,290,"Ongoing actions, trends, or states in financial and business contexts",0.76,0.631,0.776,0.745,And & Contexts,And States
22,68,Transitions and contrasts in financial and market contexts,0.364,0.354,0.75,0.24,And & Economic,And Contexts
16,216,Company names and financial terms in investment contexts,0.804,0.677,0.754,0.86,And & Names,And Names
16,265,News article metadata and reporting elements,0.455,0.446,1.0,0.294,And & Contexts,And News
4,78,Temporal and directional context in financial and market-related text,0.828,0.769,0.973,0.72,And & Economic,And Stock
22,289,"Financial and business terms, focusing on company performance and market indicators.",0.747,0.615,0.771,0.725,And & Contexts,And Performance
4,320,"Financial metrics and years, emphasizing digits \""2\"" and \""4\",0.522,0.492,0.947,0.36,And & Metrics,And Metrics
28,69,"Connects distinct but related business or market segments, activities, or entities.",0.615,0.538,0.857,0.48,And & Contexts,And Contexts
16,39,"Sentence boundary marker, specifically end of sentence",0.5,0.68,0.8,0.364,Sentence & Marker,Sentence Boundary
4,150,Financial and business-related terms in technology and market contexts,0.947,0.9,1.0,0.9,And & Contexts,And Concepts
22,287,Financial metrics and growth rates in business contexts,0.674,0.554,0.769,0.6,And & Metrics,And Metrics
10,93,Periods denote sentence endings in financial and stock-related content.,0.375,0.6,0.6,0.273,And & Contexts,Sentence And
4,384,Financial and business-related terms and concepts,0.947,0.9,1.0,0.9,And & Contexts,And Concepts
10,182,Punctuation and conjunctions marking transitions in financial contexts,0.579,0.508,0.846,0.44,And & Contexts,And Punctuation
22,304,Purpose or intention in business and financial contexts,0.533,0.462,0.8,0.4,And & Contexts,Contexts And
22,145,Temporal markers and financial events,0.674,0.538,0.738,0.62,And & Contexts,And Contexts
10,228,"Economic and market-related terms, including company names and financial metrics.",0.833,0.723,0.776,0.9,And & Names,And Names
4,54,Transitions and directional changes in financial and business contexts,0.675,0.585,0.848,0.56,And & Contexts,And Contexts
22,8,Key terms and actions related to technology companies and AI advancements,0.5,0.415,0.76,0.373,And & Contexts,And Tech
4,268,Negation and uncertainty in financial and business contexts,0.595,0.538,0.917,0.44,And & Contexts,And Contexts
28,242,Common financial and news article terms and phrases,0.836,0.723,0.767,0.92,And & Contexts,And News
10,204,"Economic and financial concepts, including growth, investment, and market trends.",0.815,0.692,0.759,0.88,And & Economic,And Contexts
16,74,Sentence endings and contextual details,0.286,0.6,0.5,0.2,And & Contexts,Sentence And
22,253,Transitional and common words in financial and business contexts,0.698,0.6,0.833,0.6,And & Contexts,And Words
4,273,Economic and financial entities and conditions in market analysis,0.796,0.677,0.774,0.82,And & Economic,And Contexts
22,22,Stock-related terms and company names in tech and finance contexts,0.807,0.677,0.759,0.863,And & Names,And Names
4,70,Ordinal numbers and percentages in financial contexts,0.587,0.523,0.917,0.431,And & Contexts,Contexts And
10,322,"Business activities and financial strategies, including investments, manufacturing, and market analysis.",0.839,0.723,0.77,0.922,And & Economic,And Contexts
16,76,Financial and economic terms related to market performance and indicators,0.708,0.569,0.756,0.667,And & Economic,And Economic
28,171,"Financial and business-related terms, including transactions, investments, and corporate actions.",0.947,0.9,1.0,0.9,And & Contexts,And Concepts
16,137,"Financial and business terms indicating significant opportunities, risks, or roles",0.777,0.646,0.755,0.8,And & Contexts,And Performance
4,153,"Numerical values in financial contexts, often digits in prices or amounts.",0.732,0.662,0.938,0.6,And & Contexts,And Values
28,122,Financial and technical context markers,0.822,0.708,0.772,0.88,And & Time,And Technical
4,318,Actions and events in financial and business contexts,0.829,0.708,0.767,0.902,And & Contexts,And Contexts
4,160,"Country, region, or company-specific terms",0.792,0.677,0.8,0.784,And & Contexts,And Tech
16,165,Punctuation and common words in financial and stock-related contexts,0.822,0.708,0.772,0.88,Stock & And,And Words
4,132,"Technology, energy, and financial sector terms and concepts",0.86,0.754,0.766,0.98,And & Contexts,And Contexts
22,332,Specific points in time or conditions affecting financial metrics,0.588,0.462,0.735,0.49,And & Time,And Metrics
4,188,Introduces new information or clauses with commas and specific articles/pronouns.,0.276,0.354,1.0,0.16,And & Contexts,And Tech
28,160,Negation or lack of achievement in business contexts,0.464,0.431,0.889,0.314,And & Contexts,And Contexts
28,51,Business and financial actions and outcomes,0.826,0.708,0.763,0.9,And & Contexts,And Contexts
4,6,"Financial metrics, units, and time periods",0.757,0.615,0.736,0.78,And & Time,Time Periods
22,235,Common prepositions and articles indicating structural roles,0.075,0.246,0.667,0.04,And & Contexts,And Elements
10,282,Specific characters and numbers in financial and tech contexts,0.837,0.754,0.854,0.82,And & Contexts,And Tech
28,272,"Economic and business trends, challenges, and strategic actions",0.804,0.677,0.754,0.86,And & Contexts,And Contexts
28,358,Financial and business-related terms and concepts,0.844,0.738,0.78,0.92,And & Contexts,And Concepts
28,136,"Article titles, financial terms, and continuation phrases",0.768,0.646,0.776,0.76,And & Contexts,And News
16,131,Expressing or reporting opinions and beliefs,0.435,0.4,0.789,0.3,And & Contexts,And Contexts
28,243,"Financial and economic terms, focusing on market performance and investment.",0.889,0.8,1.0,0.8,And & Economic,And Economic
4,60,"Financial actions, states, or transitions",0.687,0.523,0.694,0.68,And & Contexts,And States
28,146,"Numerical values, especially years and financial figures",0.714,0.631,0.882,0.6,And & Contexts,And Values
28,12,"Financial or business contexts involving time, purpose, or benefit",0.769,0.631,0.741,0.8,And & Contexts,And Contexts
28,168,Actions and states in financial and business contexts,0.807,0.677,0.746,0.88,And & Contexts,And States
22,2,"Financial and technical roles, entities, and concepts",0.844,0.738,0.78,0.92,And & Time,And Technical
22,31,"Financial and market-related terms, focusing on economic indicators and stock performance.",0.745,0.6,0.731,0.76,And & Economic,And Stock
